"case, nb_agents"
"(12.0, -1.0)",1
"(6.0, -4.0)",1
"(-2.0, 2.0)",1
"(-14.0, 6.0)",1
"(-9.0, 7.0)",1
"(8.0, -3.0)",1
"(5.0, 12.0)",1
"(-13.0, 13.0)",1
"(17.0, -2.0)",1
"(17.0, 2.0)",1
"(11.0, 18.0)",1
"(-17.0, -10.0)",1
"(-21.0, -1.0)",1
"(-15.0, -5.0)",1
"(16.0, 11.0)",1
"(-9.0, 16.0)",1
"(-5.0, -3.0)",1
"(-20.0, 1.0)",1
"(-17.0, -17.0)",1
"(-14.0, 20.0)",1
"(8.0, 17.0)",1
"(8.0, 21.0)",1
"(-26.0, 3.0)",1
"(15.0, -4.0)",1
"(-22.0, -26.0)",1
"(-2.0, -9.0)",1
"(-25.0, -10.0)",1
"(19.0, 0.0)",1
"(-5.0, -7.0)",1
"(-17.0, 34.0)",1
"(-32.0, 15.0)",1
"(-9.0, 6.0)",1
"(17.0, 19.0)",1
"(2.0, -28.0)",1
"(13.0, 17.0)",1
"(13.0, 28.0)",1
"(23.0, 32.0)",1
"(12.0, -31.0)",1
"(5.0, -13.0)",1
"(20.0, 2.0)",1
"(-19.0, 12.0)",1
"(-2.0, -37.0)",1
"(25.0, -38.0)",1
"(33.0, 36.0)",1
"(26.0, 25.0)",1
"(-28.0, 31.0)",1
"(-2.0, 17.0)",1
"(19.0, -11.0)",1
"(-5.0, -21.0)",1
"(-1.0, 11.0)",1
"(-15.0, -24.0)",1
"(-12.0, 31.0)",1
"(24.0, 11.0)",1
"(-26.0, -18.0)",1
"(24.0, 27.0)",1
"(-20.0, -35.0)",1
"(22.0, -16.0)",1
"(-27.0, 26.0)",1
"(28.0, -26.0)",1
"(-33.0, 14.0)",1
