"case, nb_agents"
"(-1.0, -1.0)",1
"(-6.0, 0.0)",1
"(10.0, 1.0)",1
"(4.0, 11.0)",1
"(-13.0, 1.0)",1
"(0.0, 7.0)",1
"(13.0, -5.0)",1
"(11.0, 0.0)",1
"(6.0, 12.0)",1
"(-5.0, 13.0)",2
"(-1.0, -4.0)",1
"(0.0, 2.0)",1
"(5.0, 10.0)",1
"(9.0, -2.0)",1
"(12.0, -1.0)",1
"(7.0, -3.0)",1
"(0.0, 13.0)",1
"(-10.0, 6.0)",1
"(-5.0, 6.0)",1
"(-8.0, 10.0)",1
"(-2.0, -10.0)",1
"(-11.0, -5.0)",1
"(11.0, 12.0)",1
"(2.0, -14.0)",1
"(-12.0, 2.0)",1
"(-10.0, -7.0)",1
"(6.0, -15.0)",1
"(2.0, -5.0)",1
"(-7.0, -10.0)",1
"(-14.0, 2.0)",1
"(9.0, -1.0)",1
"(11.0, 1.0)",1
"(-6.0, 9.0)",1
"(-13.0, -13.0)",1
"(-9.0, 6.0)",1
"(6.0, 7.0)",1
"(-1.0, -13.0)",1
"(11.0, 4.0)",1
"(-1.0, -2.0)",1
"(3.0, 7.0)",1
"(-11.0, -6.0)",1
"(11.0, 11.0)",1
"(5.0, 11.0)",1
"(-10.0, -13.0)",1
"(-6.0, 12.0)",1
"(13.0, -15.0)",1
"(9.0, 12.0)",1
"(-11.0, -3.0)",1
"(9.0, -3.0)",1
"(5.0, 5.0)",1
"(-14.0, 6.0)",2
"(-10.0, 9.0)",1
"(-3.0, 3.0)",1
"(7.0, 1.0)",1
"(11.0, -7.0)",1
"(13.0, 14.0)",1
"(8.0, 9.0)",1
"(-10.0, 11.0)",1
