"case, nb_agents"
"(12.0, -1.0)",1
"(6.0, -4.0)",1
"(-4.0, -6.0)",1
"(-2.0, 2.0)",1
"(-1.0, 16.0)",1
"(-8.0, 16.0)",1
"(-14.0, 6.0)",1
"(18.0, -10.0)",1
"(-20.0, -1.0)",1
"(-2.0, -8.0)",1
"(-4.0, -3.0)",1
"(16.0, 18.0)",1
"(-1.0, 10.0)",1
"(-19.0, 1.0)",1
"(-9.0, 7.0)",1
"(8.0, 20.0)",1
"(8.0, -3.0)",1
"(-16.0, -10.0)",1
"(4.0, -12.0)",1
"(15.0, -3.0)",1
"(-21.0, -25.0)",1
"(12.0, 16.0)",1
"(23.0, 25.0)",1
"(12.0, 26.0)",1
"(-16.0, 32.0)",1
"(-24.0, -9.0)",1
"(18.0, 0.0)",1
"(24.0, 23.0)",1
"(5.0, 12.0)",1
"(-13.0, 13.0)",1
"(17.0, -2.0)",1
"(-17.0, -16.0)",1
"(-14.0, -23.0)",1
"(19.0, 2.0)",1
"(-18.0, 12.0)",1
"(-1.0, -35.0)",1
"(-24.0, -17.0)",1
"(22.0, 30.0)",1
"(21.0, -14.0)",1
"(15.0, 11.0)",1
"(31.0, 34.0)",1
"(-31.0, 13.0)",1
"(10.0, 18.0)",1
"(-5.0, -20.0)",1
"(2.0, -27.0)",1
"(11.0, -30.0)",1
"(17.0, 2.0)",1
"(-25.0, 3.0)",1
"(-14.0, 19.0)",1
"(-11.0, 30.0)",1
"(-15.0, -4.0)",1
"(23.0, 10.0)",1
"(8.0, 16.0)",1
"(-19.0, -33.0)",1
"(24.0, -36.0)",1
"(-31.0, 14.0)",1
"(-26.0, 24.0)",1
"(-9.0, 5.0)",1
"(26.0, -25.0)",1
"(-26.0, 30.0)",1
