"case, nb_agents"
"(-5.0, 5.0)",1
"(-13.0, -13.0)",1
"(12.0, 4.0)",1
"(7.0, -12.0)",1
"(-2.0, 5.0)",1
"(-2.0, -14.0)",1
"(-11.0, -5.0)",2
"(-12.0, 7.0)",1
"(-8.0, 10.0)",1
"(10.0, -3.0)",1
"(-7.0, 6.0)",1
"(3.0, -3.0)",1
"(-7.0, 7.0)",1
"(7.0, -10.0)",1
"(10.0, -8.0)",1
"(-11.0, -12.0)",1
"(12.0, -6.0)",1
"(12.0, 13.0)",1
"(-3.0, 1.0)",1
"(-2.0, -6.0)",1
"(-9.0, -5.0)",1
"(0.0, -10.0)",1
"(-7.0, 4.0)",1
"(6.0, -6.0)",1
"(-9.0, 5.0)",1
"(-6.0, 1.0)",1
"(-7.0, -2.0)",1
"(10.0, -12.0)",1
"(-7.0, -11.0)",1
"(12.0, -7.0)",2
"(-8.0, -12.0)",1
"(-4.0, 6.0)",1
"(2.0, 13.0)",1
"(-1.0, 8.0)",1
"(7.0, 11.0)",1
"(3.0, 6.0)",1
"(2.0, 7.0)",1
"(10.0, 5.0)",1
"(-10.0, -3.0)",1
"(5.0, 10.0)",1
"(9.0, -15.0)",1
"(10.0, -14.0)",1
"(-14.0, -15.0)",1
"(-7.0, -15.0)",1
"(-8.0, -9.0)",1
"(4.0, -8.0)",1
"(11.0, 14.0)",1
"(-6.0, 7.0)",1
"(-10.0, 7.0)",1
"(-3.0, -8.0)",1
"(-14.0, 10.0)",1
"(-13.0, -8.0)",2
"(9.0, 9.0)",1
"(6.0, 11.0)",1
"(-11.0, 0.0)",1
"(0.0, 6.0)",1
"(-9.0, -15.0)",1
