"case, nb_agents"
"(-7.0, 6.0)",1
"(3.0, -3.0)",1
"(-7.0, 7.0)",1
"(-3.0, 1.0)",1
"(-12.0, -6.0)",1
"(8.0, -10.0)",1
"(-9.0, 12.0)",1
"(11.0, -9.0)",1
"(13.0, -6.0)",1
"(-11.0, -6.0)",1
"(-15.0, -15.0)",1
"(9.0, -8.0)",1
"(-8.0, 3.0)",1
"(12.0, -4.0)",1
"(-12.0, -14.0)",1
"(-2.0, -8.0)",1
"(1.0, -14.0)",1
"(-9.0, 7.0)",1
"(-10.0, -17.0)",1
"(18.0, -8.0)",1
"(8.0, 12.0)",1
"(-16.0, -5.0)",1
"(9.0, -13.0)",1
"(-22.0, -15.0)",1
"(-14.0, 8.0)",1
"(-2.0, -18.0)",1
"(-5.0, 8.0)",1
"(13.0, 16.0)",1
"(-1.0, 8.0)",1
"(9.0, -17.0)",1
"(-14.0, -7.0)",1
"(15.0, 8.0)",1
"(-13.0, 8.0)",1
"(-10.0, -3.0)",1
"(16.0, -19.0)",1
"(-12.0, -19.0)",1
"(-4.0, 14.0)",1
"(6.0, 24.0)",1
"(1.0, 17.0)",1
"(13.0, 21.0)",1
"(7.0, 15.0)",1
"(18.0, 10.0)",1
"(12.0, 20.0)",1
"(16.0, -28.0)",1
"(18.0, -25.0)",1
"(-22.0, -25.0)",1
"(-12.0, -28.0)",1
"(-14.0, -15.0)",1
"(19.0, 26.0)",1
"(-11.0, 16.0)",1
"(-19.0, 16.0)",1
"(-4.0, -16.0)",1
"(-24.0, 21.0)",1
"(19.0, 19.0)",1
"(14.0, 26.0)",1
"(-23.0, -16.0)",1
"(-20.0, 2.0)",1
"(2.0, 14.0)",1
"(22.0, -12.0)",1
"(-15.0, -31.0)",1
