"case, nb_agents"
"(-7.0, 7.0)",1
"(8.0, -11.0)",1
"(14.0, -6.0)",1
"(-2.0, -9.0)",1
"(-5.0, 9.0)",1
"(0.0, 9.0)",1
"(-12.0, -15.0)",1
"(12.0, -10.0)",2
"(13.0, -4.0)",1
"(-10.0, 13.0)",1
"(-2.0, -20.0)",1
"(-4.0, 1.0)",1
"(-13.0, -7.0)",1
"(-15.0, 10.0)",1
"(-10.0, 4.0)",1
"(4.0, -3.0)",1
"(-16.0, -16.0)",1
"(-12.0, -7.0)",1
"(13.0, 18.0)",1
"(-11.0, 9.0)",1
"(22.0, -10.0)",1
"(-14.0, -24.0)",1
"(1.0, -17.0)",1
"(-21.0, -7.0)",1
"(23.0, -32.0)",1
"(-6.0, -21.0)",1
"(-30.0, -21.0)",1
"(-8.0, 6.0)",1
"(17.0, 10.0)",1
"(-12.0, -3.0)",1
"(20.0, -23.0)",1
"(-12.0, -22.0)",1
"(8.0, 32.0)",1
"(17.0, 28.0)",1
"(24.0, 13.0)",1
"(17.0, 27.0)",1
"(20.0, -37.0)",1
"(19.0, 37.0)",1
"(-27.0, 3.0)",1
"(30.0, -15.0)",1
"(-15.0, 9.0)",1
"(10.0, -20.0)",1
"(-17.0, -8.0)",1
"(-4.0, 20.0)",1
"(3.0, 24.0)",1
"(12.0, 17.0)",1
"(10.0, 21.0)",1
"(-27.0, -32.0)",1
"(-15.0, -38.0)",1
"(-18.0, -20.0)",1
"(13.0, -18.0)",1
"(25.0, 35.0)",1
"(-15.0, 23.0)",1
"(-25.0, 22.0)",1
"(-32.0, 28.0)",1
"(-29.0, -20.0)",1
"(27.0, 26.0)",1
"(5.0, 20.0)",1
"(-19.0, -42.0)",1
