"case, nb_agents"
"(12.0, -1.0)",1
"(6.0, -4.0)",1
"(-2.0, 2.0)",1
"(8.0, -3.0)",1
"(-5.0, -3.0)",1
"(-5.0, -7.0)",1
"(-2.0, 17.0)",1
"(19.0, -11.0)",1
"(-1.0, 11.0)",1
"(-9.0, 17.0)",1
"(-15.0, 6.0)",1
"(16.0, -4.0)",1
"(-18.0, -18.0)",1
"(18.0, 2.0)",1
"(-22.0, -1.0)",1
"(4.0, 12.0)",1
"(18.0, -2.0)",1
"(-10.0, 6.0)",1
"(-21.0, 1.0)",1
"(11.0, 19.0)",1
"(-27.0, -19.0)",1
"(-18.0, -11.0)",1
"(-10.0, 7.0)",1
"(-20.0, 13.0)",1
"(14.0, 18.0)",1
"(-14.0, 14.0)",1
"(14.0, 30.0)",1
"(-6.0, -22.0)",1
"(12.0, -33.0)",1
"(21.0, 2.0)",1
"(-23.0, -28.0)",1
"(-2.0, -40.0)",1
"(-2.0, -10.0)",1
"(18.0, 12.0)",1
"(35.0, 39.0)",1
"(-30.0, 34.0)",1
"(-15.0, 22.0)",1
"(-19.0, 37.0)",1
"(-27.0, -11.0)",1
"(-35.0, 15.0)",1
"(21.0, 0.0)",1
"(28.0, 27.0)",1
"(5.0, -14.0)",1
"(-12.0, 34.0)",1
"(27.0, -41.0)",1
"(24.0, -17.0)",1
"(18.0, 20.0)",1
"(2.0, -30.0)",1
"(-17.0, -5.0)",1
"(-29.0, 28.0)",1
"(9.0, 22.0)",1
"(9.0, 19.0)",1
"(25.0, 35.0)",1
"(-35.0, 16.0)",1
"(30.0, -29.0)",1
"(-28.0, 3.0)",1
"(26.0, 29.0)",1
"(-16.0, -26.0)",1
"(-22.0, -38.0)",1
"(26.0, 11.0)",1
