"case, nb_agents"
"(0.0, 2.0)",1
"(5.0, 10.0)",1
"(9.0, -2.0)",1
"(12.0, -1.0)",1
"(-2.0, -4.0)",1
"(-2.0, -1.0)",1
"(14.0, -6.0)",1
"(-1.0, -3.0)",1
"(12.0, 13.0)",1
"(6.0, -3.0)",1
"(0.0, 14.0)",1
"(-6.0, 6.0)",1
"(7.0, 13.0)",1
"(-2.0, -12.0)",1
"(-15.0, 0.0)",1
"(5.0, 13.0)",1
"(3.0, -6.0)",1
"(12.0, 1.0)",1
"(7.0, 9.0)",1
"(-8.0, -1.0)",1
"(-6.0, 14.0)",1
"(-11.0, 6.0)",1
"(-9.0, 11.0)",1
"(13.0, -1.0)",1
"(-12.0, -6.0)",1
"(0.0, 8.0)",1
"(2.0, -17.0)",1
"(-14.0, 2.0)",1
"(-12.0, -9.0)",1
"(7.0, -18.0)",1
"(11.0, 2.0)",1
"(-9.0, -13.0)",1
"(-17.0, 2.0)",1
"(10.0, -2.0)",1
"(-8.0, 11.0)",1
"(-15.0, -16.0)",1
"(-11.0, 7.0)",1
"(-6.0, 17.0)",1
"(-1.0, -19.0)",1
"(14.0, 6.0)",1
"(4.0, 9.0)",1
"(-14.0, -9.0)",1
"(14.0, 15.0)",1
"(7.0, 14.0)",1
"(-12.0, -18.0)",1
"(-8.0, 17.0)",1
"(15.0, -20.0)",1
"(12.0, 17.0)",1
"(-14.0, -5.0)",1
"(12.0, -6.0)",1
"(8.0, 6.0)",1
"(-18.0, 8.0)",1
"(-14.0, 13.0)",1
"(-4.0, 4.0)",1
"(9.0, 1.0)",1
"(15.0, -11.0)",1
"(17.0, 19.0)",1
"(-18.0, 7.0)",1
"(12.0, 12.0)",1
"(-13.0, 15.0)",1
