"case, nb_agents"
"(12.0, -1.0)",1
"(5.0, 11.0)",1
"(6.0, -4.0)",1
"(-4.0, -6.0)",1
"(-2.0, 2.0)",1
"(-1.0, 16.0)",1
"(-8.0, 16.0)",1
"(10.0, 17.0)",1
"(16.0, -2.0)",1
"(16.0, 2.0)",1
"(-8.0, 5.0)",1
"(-12.0, 13.0)",1
"(18.0, 2.0)",1
"(-17.0, 11.0)",1
"(-14.0, -4.0)",1
"(-14.0, 6.0)",1
"(18.0, -10.0)",1
"(-5.0, -19.0)",1
"(-20.0, -1.0)",1
"(-2.0, -8.0)",1
"(-4.0, -3.0)",1
"(16.0, 18.0)",1
"(-1.0, 10.0)",1
"(-19.0, 1.0)",1
"(-16.0, -16.0)",1
"(7.0, 16.0)",1
"(20.0, -14.0)",1
"(15.0, 10.0)",1
"(-9.0, 7.0)",1
"(2.0, -26.0)",1
"(8.0, 20.0)",1
"(11.0, -29.0)",1
"(-13.0, 19.0)",1
"(-11.0, 29.0)",1
"(-1.0, -34.0)",1
"(22.0, 10.0)",1
"(-19.0, -32.0)",1
"(-30.0, 14.0)",1
"(-30.0, 13.0)",1
"(8.0, -3.0)",1
"(-16.0, -10.0)",1
"(4.0, -12.0)",1
"(-14.0, -22.0)",1
"(-25.0, 2.0)",1
"(15.0, -3.0)",1
"(-21.0, -25.0)",1
"(12.0, 16.0)",1
"(-24.0, -16.0)",1
"(23.0, 25.0)",1
"(12.0, 26.0)",1
"(-16.0, 32.0)",1
"(24.0, -35.0)",1
"(21.0, 30.0)",1
"(-24.0, -9.0)",1
"(-25.0, 24.0)",1
"(18.0, 0.0)",1
"(26.0, -24.0)",1
"(30.0, 34.0)",1
"(24.0, 23.0)",1
"(-25.0, 29.0)",1
