"case, nb_agents"
"(-7.0, 7.0)",1
"(8.0, -11.0)",1
"(14.0, -6.0)",1
"(-2.0, -9.0)",1
"(-5.0, 9.0)",1
"(0.0, 9.0)",1
"(12.0, -10.0)",1
"(13.0, -4.0)",1
"(-10.0, 13.0)",1
"(-2.0, -20.0)",1
"(-4.0, 1.0)",1
"(-13.0, -7.0)",1
"(-10.0, 4.0)",1
"(4.0, -3.0)",1
"(-12.0, -7.0)",1
"(13.0, 18.0)",1
"(-11.0, 9.0)",1
"(1.0, -17.0)",1
"(-8.0, 6.0)",1
"(-12.0, -3.0)",1
"(-12.0, -22.0)",1
"(-15.0, 9.0)",1
"(10.0, -20.0)",1
"(-17.0, -8.0)",1
"(-4.0, 20.0)",1
"(3.0, 24.0)",1
"(13.0, -18.0)",1
"(13.0, -10.0)",1
"(-16.0, -17.0)",1
"(18.0, 10.0)",1
"(-16.0, 10.0)",1
"(-6.0, -22.0)",1
"(20.0, -24.0)",1
"(23.0, -10.0)",1
"(-14.0, -25.0)",1
"(9.0, 33.0)",1
"(21.0, -38.0)",1
"(-19.0, -20.0)",1
"(-15.0, 24.0)",1
"(-31.0, -22.0)",1
"(5.0, 21.0)",1
"(-13.0, -15.0)",1
"(18.0, 29.0)",2
"(12.0, 18.0)",1
"(-22.0, -7.0)",1
"(-27.0, -33.0)",1
"(-16.0, -39.0)",1
"(26.0, 36.0)",1
"(-33.0, 29.0)",1
"(-28.0, 3.0)",1
"(31.0, -16.0)",1
"(10.0, 22.0)",1
"(25.0, 14.0)",1
"(24.0, -34.0)",1
"(-26.0, 23.0)",1
"(-30.0, -20.0)",1
"(28.0, 27.0)",1
"(20.0, 39.0)",1
"(-20.0, -44.0)",1
